establecimiento,region,comuna,latitud,longitud
Servicio Médico Legal Arica,Arica y Parinacota,Arica,-18.47950,-70.32074
Servicio Médico Legal Iquique,Tarapacá,Iquique,-20.21915,-70.13419
Servicio Médico Legal Antofagasta,Antofagasta,Antofagasta,-23.65853,-70.39529
Servicio Médico Legal Calama,Antofagasta,Calama,-22.46042,-68.94785
Servicio Médico Legal Copiapó,Atacama,Copiapó,-27.37336,-70.32954
Servicio Médico Legal Vallenar,Atacama,Vallenar,-28.57191,-70.76677
Servicio Médico Legal La Serena,Coquimbo,La Serena,-29.90812,-71.23343
Servicio Médico Legal Illapel,Coquimbo,Illapel,-31.64205,-71.19004
Servicio Médico Legal Ovalle,Coquimbo,Ovalle,-30.58018,-71.19066
Servicio Médico Legal Valparaíso,Valparaíso,Valparaíso,-33.05237,-71.60833
Servicio Médico Legal Quillota,Valparaíso,Quillota,-32.87931,-71.25726
Servicio Médico Legal San Antonio,Valparaíso,San Antonio,-33.61201,-71.61699
Servicio Médico Legal San Felipe,Valparaíso,San Felipe,-32.75846,-70.72449
Servicio Médico Legal Rancagua,O'Higgins,Rancagua,-34.18669,-70.74792
Servicio Médico Legal San Fernando,O'Higgins,San Fernando,-34.57490,-70.99150
Servicio Médico Legal Santa Cruz,O'Higgins,Santa Cruz,-34.63476,-71.35667
Servicio Médico Legal Talca,Maule,Talca,-35.42811,-71.64679
Servicio Médico Legal Parral,Maule,Parral,-36.14123,-71.81409
Servicio Médico Legal Curicó,Maule,Curicó,-34.99672,-71.23244
Servicio Médico Legal Cauquenes,Maule,Cauquenes,-35.96219,-72.32540
Servicio Médico Legal Linares,Maule,Linares,-35.84145,-71.57386
Servicio Médico Legal Constitución,Maule,Constitución,-35.33936,-72.40270
Servicio Médico Legal Chillán,Ñuble,Chillán,-36.60897,-72.09619
Servicio Médico Legal Concepción,Biobío,Concepción,-36.80722,-73.02301
Servicio Médico Legal Los Ángeles,Biobío,Los Ángeles,-37.48269,-72.32520
Servicio Médico Legal Temuco,La Araucanía,Temuco,-38.73946,-72.59858
Servicio Médico Legal Nueva Imperial,La Araucanía,Nueva Imperial,-38.60228,-72.84144
Servicio Médico Legal Angol,La Araucanía,Angol,-37.79180,-72.69417
Servicio Médico Legal Valdivia,Los Ríos,Valdivia,-39.83158,-73.21741
Servicio Médico Legal Puerto Montt,Los Lagos,Puerto Montt,-41.47218,-72.92399
Servicio Médico Legal Osorno,Los Lagos,Osorno,-40.57184,-73.12431
Servicio Médico Legal Ancud,Los Lagos,Ancud,-41.86690,-73.81399
Servicio Médico Legal Coyhaique,Aysén,Coyhaique,-45.57189,-72.07196
Servicio Médico Legal Puerto Aysén,Aysén,Aisén,-45.40664,-72.69656
Servicio Médico Legal Punta Arenas,Magallanes,Punta Arenas,-53.15502,-70.89735
Servicio Médico Legal Puerto Natales,Magallanes,Natales,-51.73867,-72.49057
Servicio Médico Legal Melipilla,Metropolitana,Melipilla,-33.69658,-71.22452
Servicio Médico Legal Santiago-Sede Central,Metropolitana,Independencia,-33.41906,-70.65061
