id,fecha_hora,lugar,region,profundidad_km,magnitud
1,2026-06-18 12:20:52,115 km al O de Tongoy,Coquimbo,10,2.6
2,2026-06-18 12:04:22,13 km al NO de Pichidangui,Coquimbo,33,2.7
3,2026-06-18 11:26:57,78 km al SE de Socaire,Antofagasta,209,3.0
4,2026-06-18 10:19:41,17 km al SE de La Serena,Coquimbo,81,2.9
5,2026-06-18 08:29:46,23 km al E de Punta de Choros,Coquimbo,54,2.6
6,2026-06-18 08:06:23,25 km al O de Ollague,Antofagasta,202,3.6
7,2026-06-18 07:06:44,68 km al E de Socaire,Antofagasta,216,2.9
8,2026-06-18 05:21:05,40 km al NE de Copiapo,Atacama,20,2.8
9,2026-06-18 04:56:37,45 km al E de Calama,Antofagasta,95,2.8
10,2026-06-18 04:22:40,47 km al SE de Sierra Gorda,Antofagasta,95,2.6
11,2026-06-18 02:18:36,40 km al SO de Huasco,Atacama,30,2.6
12,2026-06-18 01:47:40,48 km al O de Mina Collahuasi,Tarapaca,112,3.5
13,2026-06-18 01:44:15,49 km al SO de Putre,Arica y Parinacota,109,2.6
14,2026-06-18 01:30:26,87 km al O de San Antonio de los Cobres,Antofagasta,200,2.9
15,2026-06-18 01:22:26,35 km al O de Panguipulli,Los Rios,67,2.9
