comuna,poblacion
"Puente Alto",568086
"Maipú",503635
"Santiago",438856
"Antofagasta",401096
"Temuco",292518
"Valparaíso",284938
"Rancagua",257744
"Iquique",199587
"Osorno",166455
"Curicó",159968
"Ovalle",118696
"Quillota",96753
"Linares",96744
"Villarrica",67737
"Rengo",63620
"Coyhaique",57823
"Constitución",47004
"Castro",46997
"Parral",45323
"Cauquenes",42798
"Ancud",40949
"Lota",39980
"Pucón",32321
"Pirque",29060
"Quellón",28460
"Vicuña",28047
"Salamanca",27823
"Tocopilla",25400
"Cartagena",24599
"Pichilemu",19847
